No. NF;DATA EMISSAO;VALOR IPI;NOME ARQUIVO XML
NF 62635;2012-04-23;6.75;43120402808708002908550010000626352040278513-nfe.xml
NF 62635;2012-04-23;212.17;43120402808708002908550010000626352040278513-nfe.xml
NF 62635;2012-04-23;62.33;43120402808708002908550010000626352040278513-nfe.xml
NF 229912;2012-12-27;328.52;43121202808708003203550010002299121479288051-nfe.xml
NF 229912;2012-12-27;55.23;43121202808708003203550010002299121479288051-nfe.xml
NF 228262;2012-12-16;435.31;43121202808708003203550010002282621351340277-nfe.xml
NF 228262;2012-12-16;395.01;43121202808708003203550010002282621351340277-nfe.xml
NF 230661;2012-12-31;283.23;43121202808708003203550010002306611513283356-old.xml
NF 230661;2012-12-31;265.44;43121202808708003203550010002306611513283356-old.xml
NF 229590;2012-12-24;328.11;43121202808708003203550010002295901506255370-old.xml
NF 229590;2012-12-24;395.01;43121202808708003203550010002295901506255370-old.xml
NF 227335;2012-12-11;550.80;43121202808708003203550010002273351575140526-old.xml
NF 227335;2012-12-11;400.88;43121202808708003203550010002273351575140526-old.xml
NF 229115;2012-12-21;1007.59;43121202808708003203550010002291151547195120-old.xml
NF 229699;2012-12-26;328.52;43121202808708003203550010002296991409234314-old.xml
NF 229699;2012-12-26;234.96;43121202808708003203550010002296991409234314-old.xml
NF 226120;2012-12-03;1665.45;43121202808708003203550010002261201516411340-old.xml
NF 227134;2012-12-10;398.92;43121202808708003203550010002271341341133304-old.xml
NF 227134;2012-12-10;132.72;43121202808708003203550010002271341341133304-old.xml
NF 227134;2012-12-10;211.85;43121202808708003203550010002271341341133304-old.xml
NF 230068;2012-12-28;3.26;43121202808708003203550010002300681367416413-nfe.xml
NF 74032;2012-12-03;115.10;43121202808708002908550010000740321491383171-old.xml
NF 74032;2012-12-03;123.68;43121202808708002908550010000740321491383171-old.xml
NF 74032;2012-12-03;77.84;43121202808708002908550010000740321491383171-old.xml
NF 228706;2012-12-19;266.60;43121202808708003203550010002287061392299091-old.xml
NF 228706;2012-12-19;407.40;43121202808708003203550010002287061392299091-old.xml
NF 226026;2012-12-02;297.24;43121202808708003203550010002260261495294217-nfe.xml
NF 226026;2012-12-02;361.77;43121202808708003203550010002260261495294217-nfe.xml
NF 226026;2012-12-02;253.39;43121202808708003203550010002260261495294217-nfe.xml
NF 226595;2012-12-06;731.22;43121202808708003203550010002265951494241505-nfe.xml
NF 230671;2012-12-31;394.36;43121202808708003203550010002306711438368260-old.xml
NF 230671;2012-12-31;531.25;43121202808708003203550010002306711438368260-old.xml
NF 228305;2012-12-17;324.61;43121202808708003203550010002283051409270232-nfe.xml
NF 228305;2012-12-17;394.36;43121202808708003203550010002283051409270232-nfe.xml
NF 228305;2012-12-17;397.33;43121202808708003203550010002283051409270232-nfe.xml
